Energy :  -2.7909E+04

 sample of final configuration

      i       x(i)            y(i)            z(i)           fx(i)           fy(i)           fz(i)
    124  1.57900000E+00  6.92390000E-01 -4.87130000E+00  2.10546523E+04 -9.97268879E+03  3.43998184E+04
    125  1.91520000E+00 -2.23050000E-01 -4.65010000E+00 -1.19393619E+04  2.78821414E+04 -7.86941916E+03
    126  1.74920000E+00  1.30590000E+00 -4.10020000E+00 -1.03239250E+04 -1.92703159E+04 -2.35308616E+04
    127  6.72890000E+00  2.12520000E+00 -2.68010000E+00 -1.63931698E+04 -3.12371774E+04  1.69919795E+04
    128  6.15840000E+00  2.13600000E+00 -1.85880000E+00  1.70809651E+04  3.92612790E+03 -2.89664173E+04
    129  6.73420000E+00  1.20470000E+00 -3.07080000E+00 -8.97038247E+02  3.21850910E+04  1.11861978E+04
    130 -6.37800000E+00  7.53290000E+00 -5.39370000E+00 -3.13282910E+04 -2.61922241E+04  1.76840036E+04
    131 -6.84820000E+00  6.71820000E+00 -5.73310000E+00  1.93799979E+04  3.04927674E+04  1.23963368E+04
    132 -6.72350000E+00  7.76300000E+00 -4.48400000E+00  1.27807227E+04 -3.52822643E+03 -2.92261340E+04
    133 -4.40190000E+00  6.26270000E+00 -6.72160000E+00  2.93396027E+03  3.32408151E+04 -2.15763921E+04
    134 -3.74810000E+00  6.42850000E+00 -7.45990000E+00 -2.22500348E+04 -7.10431516E+03  2.33675109E+04
    135 -4.94250000E+00  7.08880000E+00 -6.56260000E+00  1.54314475E+04 -2.95217055E+04 -4.69609187E+02
    136  1.93280000E+00 -2.24030000E+00 -2.02300000E-01  5.81198490E+03 -1.19299638E+04 -3.82959286E+04
    137  1.68070000E+00 -3.16430000E+00 -4.89970000E-01  8.67574529E+03  2.79170089E+04  1.21624274E+04
    138  2.33810000E+00 -1.74950000E+00 -9.73520000E-01 -1.35990968E+04 -1.38090443E+04  2.85065451E+04
    139 -2.99370000E+00  7.21640000E+00  8.09610000E+00  4.17095609E+04 -8.83049019E+03 -9.37329600E+03
    140 -2.58950000E+00  6.31800000E+00  7.92400000E+00 -1.73385590E+04  2.63074992E+04  6.38076732E+03
    141 -2.29810000E+00  7.92430000E+00  7.97390000E+00 -2.26766766E+04 -2.12735553E+04  1.68019452E+03
