Energy : -2.7909E+04

sample of starting configuration

      i       x(i)            y(i)            z(i)           fx(i)           fy(i)           fz(i)
    159  4.02120000E+00  1.77670000E+00  4.53650000E+00 -4.32710000E+03 -1.41730000E+03  6.32490000E+03
    160 -3.91040000E+00 -1.31650000E+00 -6.10260000E-01  1.01370000E+04  2.08940000E+04  3.39990000E+03
    161 -4.49370000E+00 -1.36900000E+00  2.00300000E-01 -5.48480000E+03 -5.25750000E+03  3.08210000E+03
    162 -3.97550000E+00 -2.17170000E+00 -1.12440000E+00 -4.55540000E+03 -9.61810000E+03 -2.26180000E+03
    163 -5.84220000E+00 -6.90980000E+00 -3.45040000E-01  2.78390000E+03 -5.13910000E+03 -1.20510000E+03
    164 -6.25520000E+00 -6.53570000E+00 -1.17540000E+00 -2.56710000E+03  1.73980000E+03 -2.78330000E+03
    165 -6.46480000E+00 -6.77750000E+00  4.26250000E-01 -2.12660000E+03  3.17210000E+03  1.91010000E+03
    166  1.60940000E+00 -6.25120000E+00  6.67770000E+00 -3.08270000E+03 -1.25540000E+04 -4.75210000E+02
    167  2.21090000E+00 -6.49940000E+00  7.43710000E+00  1.73940000E+03  2.00070000E+03  2.78440000E+03
    168  1.44230000E+00 -5.26540000E+00  6.69280000E+00  2.39400000E+03  8.45270000E+03  2.78400000E+02
    169 -4.79620000E+00 -1.12580000E+00  7.77090000E+00 -3.26090000E+03 -1.53630000E+03 -9.18780000E+03
    170 -5.28640000E+00 -1.00630000E+00 -8.56290000E+00 -2.74150000E+02 -1.80390000E+02  4.94640000E+03
    171 -3.82250000E+00 -1.25910000E+00  7.95550000E+00  1.23510000E+03  2.41320000E+01  4.05010000E+03
    172 -4.13330000E+00  5.10830000E-01 -3.92780000E+00 -8.36230000E+03 -6.34710000E+03  5.24550000E+03
    173 -3.92140000E+00  1.37980000E+00 -4.37490000E+00  4.41240000E+03  3.48250000E+03 -3.78920000E+03
    174 -3.28350000E+00  2.57960000E-02 -3.72120000E+00  6.23880000E+03  4.23300000E+02 -1.06180000E+03
    175 -7.66450000E+00 -3.61070000E+00 -1.05380000E+00  1.18030000E+04 -8.16800000E+03 -1.96560000E+04
    176 -7.39440000E+00 -3.73270000E+00 -9.87850000E-02 -2.67640000E+03  7.88860000E+02  1.10360000E+04
    177 -8.44100000E+00 -2.98250000E+00 -1.10350000E+00 -4.09290000E+03  3.66910000E+03  7.18490000E+03
    178  5.48840000E+00 -5.21820000E+00  5.54240000E-01  3.50290000E+03 -1.14320000E+04 -2.43830000E+03
    179  4.53860000E+00 -4.90690000E+00  5.86950000E-01 -4.18690000E+03  6.50010000E+03  3.14910000E+03
    180  6.09890000E+00 -4.42630000E+00  5.38700000E-01  3.14470000E+02  4.15440000E+03  2.68180000E+02
    181  1.95070000E+00  3.34150000E+00  8.96250000E-01  3.98130000E+03 -1.99850000E+03  1.01850000E+04
    182  2.63640000E+00  3.15460000E+00  1.92740000E-01  1.75340000E+03 -8.05370000E+02 -4.44520000E+03
    183  1.35520000E+00  4.08530000E+00  5.92720000E-01 -4.74900000E+03  2.83800000E+03 -5.74300000E+03
    184  4.48330000E+00  6.84310000E+00  4.35820000E+00  1.13030000E+03  8.69260000E+03  6.11240000E+03
    185  4.05010000E+00  6.10670000E+00  3.83850000E+00  5.17100000E+01 -6.25140000E+03 -1.72250000E+03
    186  5.39870000E+00  6.55770000E+00  4.64200000E+00  3.98740000E+03 -4.97130000E+03  9.54580000E+01
    187 -1.38150000E+00 -6.53810000E+00  3.75800000E+00 -4.13430000E+01 -1.76060000E+04 -1.62560000E+03
    188 -1.59340000E+00 -6.29000000E+00  4.70320000E+00 -1.69210000E+03  4.21320000E+03  6.70230000E+03
    189 -1.27550000E+00 -5.70790000E+00  3.21070000E+00 -1.11130000E+03  1.24380000E+04 -2.78700000E+03
    190  4.61960000E+00  3.68690000E+00  6.94930000E+00 -1.31080000E+04 -7.83600000E+03 -1.26480000E+04
    191  5.15790000E+00  4.39950000E+00  6.49940000E+00  5.08810000E+03  5.89580000E+03  1.31730000E+01
    192  4.77060000E+00  3.72810000E+00  7.93700000E+00  6.43650000E+03  1.02200000E+03  8.54080000E+03
    193 -3.49530000E+00 -1.33590000E+00 -6.77050000E+00 -5.46700000E+03 -1.00090000E+04 -1.39160000E+03
    194 -3.33030000E+00 -5.98360000E-01 -7.42540000E+00  3.28540000E+03  5.52970000E+03 -4.34350000E+02
    195 -2.89520000E+00 -1.22000000E+00 -5.97910000E+00  3.50650000E+03  3.50730000E+03  4.48680000E+03
    196  2.16430000E+00 -3.60190000E+00  6.19770000E+00 -3.10170000E+03 -4.47360000E+03  4.79830000E+03
    197  1.82270000E+00 -2.72500000E+00  5.85970000E+00  6.89130000E+02  5.36840000E+03 -1.86490000E+03
    198  3.00730000E+00 -3.84010000E+00  5.71540000E+00  2.75930000E+03  3.61020000E+02 -2.34990000E+03
    199 -1.79560000E+00  7.61080000E+00 -4.37950000E+00  3.57820000E+03 -1.50710000E+03  8.40510000E+03
    200 -2.33850000E+00  6.79970000E+00 -4.59720000E+00 -1.55550000E+03 -4.39910000E+02 -3.18480000E+03
    201 -2.02680000E+00  8.34770000E+00 -5.01470000E+00 -2.18310000E+03  3.73970000E+03 -7.20790000E+03
    202 -3.43500000E+00  2.50400000E+00 -5.77830000E+00  4.73820000E+03 -9.96410000E+03 -6.75180000E+03
